name,years active,player id,position
Sophie Bradley,2011-2020,947f1c75,DF
Cohen Bramall,2016-2020,6cb7f041,DF
BrandonMorrison,2019-2020,dbad6eb4,MF
Cameron Brannagan,2014-2020,9220e731,MF
Jarrad Branthwaite,2018-2020,c1949191,MF
John Brayford,2006-2020,bab2f2a5,DF
Ellie Brazil,2017-2020,50000805,FW
James Bree,2014-2020,c07b7c5c,DF
Archie Brennan,2018-2020,77b7aecd,MF
Luke Brennan,2018-2020,81ef454b,FW
Ben Brereton,2016-2020,57827369,FW
Tom Brewitt,2016-2020,30c268ea,MF
Rhian Brewster,2016-2020,30e81a88,FW
Jack Bridge,2014-2020,2a00dced,MF
Mungo Bridge,2018-2020,43196a4f,DF
Millie Bright,2016-2020,22fccf20,FW
Dean Brill,2003-2020,028b9b6f,GK
Richard Brindley,2012-2020,a7588b8d,DF
Shaun Brisley,2007-2020,cf4522d0,DF
Callum Brittain,2015-2020,95869fab,DF
Tom Broadbent,2017-2020,a58ca99d,DF
Harry Brockbank,2017-2020,7e169041,DF
Lucy Bronze,2015-2020,5056c581,DF
Alexandra Brooks,2018-2020,7.91E+108,GK
Niall Brookwell,2019-2020,a7ab13dd,DF
James Brophy,2015-2020,e58bc5d1,DF
Patrick Brough,2013-2020,4fdba4d6,MF
Georgia Brougham,2017-2020,052a7107,DF
Archie Brown,2019-2020,028b8d59,DF
Charlie Brown,2016-2020,44f87ad3,FW
Connor Brown,2012-2020,44aea7fc,DF
Eddie Brown,2019-2020,5e0d6592,FW
Izzy Brown,2012-2020,bf54c8cc,MF
Jacob Brown,2016-2020,ca18c8f1,FW
Jaden Brown,2016-2020,aeabe05a,DF
James Brown,2017-2020,96c67a33,DF
Jordaan Brown,2014-2020,eee7c477,DF
Jordan Brown,2018-2020,f5f4fdd2,MF
Junior Brown,2007-2020,7a094557,DF
Laura Brown,2019-2020,9973fa94,MF
Lee Brown,2009-2020,315f6ae9,DF
Matty Brown,2013-2020,23ea840e,MF
Reece Brown,2013-2020,59dc2fe5,MF
Scott Brown,2005-2020,5f95f4d6,GK
Scott Brown,2004-2020,8adefff9,MF
Stefan Brown,2019-2020,d3b5f821,FW
Will Brown,2019-2020,446d217d,GK
Zak Brown,2017-2020,d77b1807,MF
De''Marlio Brown-Sterling,2019-2020,ef8c7a7b,MF
Marcus Browne,2015-2020,7358a89a,MF
Josh Brownhill,2013-2020,47369df8,MF
Tyler Brownsword,2017-2020,9d1ef42f,DF
Mitch Brundle,2013-2020,3e061157,MF
Lewis Brunt,2017-2020,a2081c6b,MF
Joe Bryan,2011-2020,af69e7f0,MF
Kean Bryan,2016-2020,c684d3c9,MF
Solomon Brynn,2017-2020,8056f069,GK
Faye Bryson,2017-2020,0d10692c,DF
Lee Buchanan,2017-2020,45e95f21,DF
Brandon Buckley,2018-2020,0daf8b85,FW
John Buckley,2017-2020,b3ac41b5,MF
Will Buckley,2007-2020,b1929302,MF
Danielle Buet,2018-2020,ce9db81a,MF
D'Mani Bughail-Mellor,2017-2020,ad556f81,FW
Dannie Bulman,2002-2020,fd567e78,MF
Harry Bunn,2011-2020,c8d840f0,MF
Joe Bunney,2012-2020,7d4c4f3b,DF
Tyler Burey,2018-2020,0daa8ef1,FW
Lee Burge,2012-2020,1393c5ac,GK
Christian Burgess,2012-2020,f8766ef9,DF
Scott Burgess,2013-2020,484d449c,MF
Harry Burgoyne,2016-2020,710d9ad1,GK
Luke Burke,2015-2020,deeeadd3,MF
Reece Burke,2014-2020,a681b7b7,DF
Dan Burn,2009-2020,b2d31e83,DF
Finley Burns,2019-2020,bebe4df1,DF
Sam Burns,2017-2020,2d88cb9a,MF
Rumarn Burrell,2018-2020,6b1c235a,FW
Warren Burrell,2018-2020,358be144,MF
Jordan Burrow,2011-2020,013463b0,FW
Harrison Burrows,2018-2020,316a084b,MF
Josef Bursik,2016-2020,16b6648e,GK
Callum Burton,2014-2020,e8d6906d,GK
Chris Bush,2009-2020,6d14377a,MF
Calum Butcher,2009-2020,cdf69275,DF
Matt Butcher,2015-2020,b170cfa2,MF
Jack Butland,2011-2020,cc70a1d5,GK
Andy Butler,2003-2020,7a10f219,DF
Dan Butler,2012-2020,84dd2a1f,DF
Jamie Butler,2016-2020,5c1d43ef,GK
Lewis Butroid,2017-2020,06ae882b,DF
Jacob Butterfield,2007-2020,5ff1aeb8,MF
Daniel Butterworth,2017-2020,5564eb4f,FW
David Button,2007-2020,e608ed4c,GK
Adam Buxton,2011-2020,cd657bd7,DF
Jake Buxton,2002-2020,f073b43a,DF
Elvis Bwomono,2017-2020,ba4cddff,DF
Jack Bycroft,2019-2020,c4d5db08,GK
Sam Byram,2012-2020,1bf811d4,MF
Nathan Byrne,2010-2020,c4041fbc,DF
Joel Byrom,2006-2020,ea1ded73,MF
Gary Cahill,2004-2020,7914b9fe,DF
Sam Caiger,2019-2020,fd6a22ab,MF
Hannah Cain,2018-2020,73b140ea,FW
Jake Cain,2019-2020,a33ce8e2,MF
Alex Cairns,2011-2020,1a5e36e7,GK
Dominic Calvert-Lewin,2014-2020,59e6e5bf,FW
Nathan Cameron,2010-2020,59eadf36,DF
Brennan Camp,2019-2020,378fc112,DF
Adam Campbell,2012-2020,e3aa211f,FW
Fraizer Campbell,2007-2020,81d63375,FW
Remaye Campbell,2018-2020,811f76de,FW
Tahvon Campbell,2015-2020,106f7efa,FW
Tyrese Campbell,2017-2020,38aefb74,FW
Ryan Campbell-Gordon,2019-2020,e6694efd,DF
Mitchel Candlin,2016-2020,a7a93d3e,MF
Ted Cann,2019-2020,f738734d,GK
Andy Cannon,2014-2020,5d7b6611,MF
Todd Cantwell,2017-2020,f63d8a4b,MF
Jake Caprice,2012-2020,d3082f30,DF
Joe Cardle,2005-2020,8325a96f,MF
Baily Cargill,2013-2020,6dbe8f69,DF
George Carline,2017-2020,00f4ce8f,MF
Ian Carlo Poveda,2017-2020,55b4f1d6,FW
Jacob Carney,2018-2020,cac49703,GK
Mark Carrington,2006-2020,c4ef73ec,MF
Andy Carroll,2006-2020,b581987a,FW
Tom Carroll,2010-2020,5a1900a4,MF
David Carson,2019-2020,3371aceb,MF
Scott Carson,2003-2020,3e1550ee,GK
Ashley Carter,2014-2020,029201aa,DF
Charlie Carter,2016-2020,5141a0fc,MF
Darren Carter,2001-2020,52fefc5b,MF
Hayden Carter,2017-2020,40f85b8f,DF
Jessica Carter,2017-2020,bb5e99fc,MF
Samuel Cartwright,2017-2020,a2347d2b,DF
Fabio Carvalho,2018-2020,966e28d0,MF
Wilson Carvalho,2019-2020,b3da0fcd,MF
Marcus Carver,2011-2020,330f3e43,FW
Josh Casey,2018-2020,bff0d8ce,DF
Matthew Casey,2017-2020,93a63c9b,DF
Oliver Casey,2019-2020,2d82641c,DF
Matty Cash,2015-2020,2389cdc2,DF
Danny Cashman,2017-2020,a1235277,MF
Lewis Cass,2018-2020,711a6e59,DF
Lee Cattermole,2005-2020,538e77d5,MF
Steven Caulker,2009-2020,2592d9b5,DF
Matty Challoner,2014-2020,3f2af7a1,DF
Nathaniel Chalobah,2012-2020,422862ea,DF
Trevoh Chalobah,2016-2020,5515376c,MF
Tom Chamberlain,2013-2020,9a368bb0,MF
Calum Chambers,2013-2020,dc6f5bdd,MF
Luke Chambers,2002-2020,1a98bcf4,DF
Michael Chambers,2015-2020,2.27E+13,DF
Tom Champion,2012-2020,b8ec2432,MF
Millie Chandarana,2019-2020,b4db8976,DF
Brooke Chaplen,2017-2020,a7600cca,MF
Conor Chaplin,2014-2020,4ec55b87,FW
Aaron Chapman,2013-2020,df3bff72,GK
Ben Chapman,2016-2020,8b43ec7f,MF
Ellis Chapman,2017-2020,40382c9b,MF
Harry Chapman,2015-2020,7768b19f,MF
Darius Charles,2004-2020,35bc4906,MF
Niamh Charles,2017-2020,cf19f181,MF
Regan Charles-Cook,2015-2020,a67ddd86,MF
Reice Charles-Cook,2013-2020,cddc96f5,GK
Luke Charman,2017-2020,4be54d60,FW
Taylor Charters,2019-2020,189d9f04,MF
Kgagelo Chauke,2019-2020,6791660,MF
Michael Cheek,2015-2020,6d764149,FW
Noah Chesmain,2015-2020,2bd2f749,DF
Daniel Chesters,2017-2020,240c8ab6,FW
Noah Chilvers,2018-2020,64cb6975,MF
Ben Chilwell,2015-2020,d2424d1b,DF
Okem Chime,2019-2020,c7eb7ea3,FW
Mac Chisholm,2019-2020,59a11686,GK
Ethan Chislett,2018-2020,c5a26988,MF
Hamza Choudhury,2015-2020,7d2d3329,MF
Benjamin Chrisene,2019-2020,b17008fc,MF
Izzy Christiansen,2016-2020,7bbb9b03,MF
Caleb Chukwuemeka,2019-2020,77897dc5,FW
Ryan Clampin,2018-2020,ac0dfdfa,MF
Sean Clare,2015-2020,77bf9e2f,MF
Jordan Clark,2010-2020,7c5fa6cf,MF
Kenny Clark,2017-2020,00550bdc,MF
Max Clark,2015-2020,73f16ec2,MF
Eddie Clarke,2017-2020,e9cdcd71,DF
Harrison Clarke,2017-2020,a64f2573,DF
James Clarke,2007-2020,3830cfa7,DF
Jessica Clarke,2011-2020,a16b6619,MF
Jordan Clarke,2009-2020,08229d38,DF
Josh Clarke,2013-2020,28ce8676,DF
Leon Clarke,2003-2020,91c975a0,FW
Matthew Clarke,2014-2020,8ea2227a,DF
Nathan Clarke,2002-2020,3a8ce088,MF
Ollie Clarke,2010-2020,172e9148,MF
Peter Clarke,2000-2020,9a7bb136,DF
Rayan Clarke,2017-2020,bcb81aa5,FW
Tom Clarke,2004-2020,73e704dd,MF
Jonson Clarke-Harris,2012-2020,260af28b,FW
Jake Clarke-Salter,2015-2020,0df092d3,DF
Leighton Clarkson,2019-2020,d5dafedb,MF
Craig Clay,2010-2020,c003124a,MF
Adam Clayton,2009-2020,45b59689,MF
Nick Clayton-Phillips,2017-2020,d379468a,FW
Bailey Clements,2019-2020,dbe73fea,DF
Chris Clements,2012-2020,dd963b78,MF
Tom Cleverley,2008-2020,6cdd8245,MF
Tom Clifford,2018-2020,57747c14,DF
Sean Clohessy,2005-2020,f546e3e8,DF
Ben Close,2014-2020,1e8a5099,MF
Sam Clucas,2011-2020,987718f5,MF
Conor Coady,2012-2020,2928dca2,DF
Hannah Coan,2018-2020,d3637f8a,MF
Kieran Coates,2018-2020,e32637f9,DF
Alexander Cochrane,2017-2020,8a08585e,DF
Callum Cockerill-Mollett,2016-2020,08baf141,DF
Luke Coddington,2016-2020,38c189f5,GK
Josh Cogley,2016-2020,01df3960,DF
Andre Coker,2017-2020,e6ed984f,MF
Ben Coker,2008-2020,40c4f987,MF
Ryan Colclough,2012-2020,e6e6ff5c,MF
Devante Cole,2014-2020,5736378a,FW
Jake Cole,2005-2020,7c5b4491,GK
Reece Cole,2015-2020,6e483aa5,MF
Ethan Coleman,2017-2020,87df2128,MF
Joel Coleman,2014-2020,b73e459a,GK
Josh Coley,2018-2020,7fa1086d,MF
Will Collar,2017-2020,6736e7d3,MF
Nathan Collier,2014-2020,7902ba61,MF
Adam Collin,2009-2020,ffa731bc,GK
Archie Collins,2017-2020,f344d409,MF
Bradley Collins,2016-2020,f679abe1,GK
Harvey Collins,2019-2020,536b2ace,GK
Jamie Collins,2010-2020,d4d081d1,MF
Lee Collins,2007-2020,7b8f9dcd,DF
Michael Collins,2017-2020,f2c6376e,DF
Tom Collins,2019-2020,4885682a,GK
Luca Colville,2018-2020,749fdcf7,MF
Levi Colwill,2019-2020,7.01E+12,DF
Jack Concannon,2019-2020,85f31f90,MF
Tom Conlon,2013-2020,58d0198f,FW
Liam Connell,2019-2020,816bf38b,GK
Callum Connolly,2015-2020,39ad0b72,MF
Dion Conroy,2016-2020,c6a284e1,DF
Andy Cook,2009-2020,ef9bbaf3,FW
Jack Cook,2018-2020,d2803e49,DF
Jordan Cook,2009-2020,28a7e81c,FW
Lewis Cook,2014-2020,2afc7272,MF
Ollie Cook,2016-2020,0fdadac9,DF
Steve Cook,2008-2020,3e5e4e63,DF
Callum Cooke,2016-2020,f5d9534a,MF
Cody Cooke,2017-2020,72a76f9d,MF
Sean Cooke,2014-2020,bf1a4466,FW
Laura Coombs,2017-2020,dfe6be0f,MF
Ryan Cooney,2016-2020,1ec0c48e,MF
Charlie Cooper,2016-2020,9eadfbf2,MF
Deanna Cooper,2017-2020,dffb640d,DF
George Cooper,2014-2020,239aa601,MF
Jake Cooper,2014-2020,aa7dfc40,DF
