,Player Name,Players ID,Years Active,Position Played
362,Kévin Aubeneau,b7f9a10a,2017-2019,GK
363,Romain Aubert,00986b66,2019-2020,FW
364,Martin Aubriot,d35d0770,2017-2019,FW
365,Jean-Marie Aubry 1999-2001 · GK · Monaco,93f80434,1999-2001,GK
366,Thomas Aubry,fcd0c22c,2017-2019,DF
367,Fabien Audard,9bb204e5,2000-2015,GK
368,Thierry Audel,b3ff6173,2007-2018,DF
369,Amandine Audia,ec57b532,2018-2019,GK
370,Teddy Audinet,defbcb60,2017-2018,MF
371,Jérémy Audoin,9d003460,2018-2019,FW
372,Axel Audra,d0135583,2017-2018,FW
373,Maxime Audrain,5f1caa2a,2017-2018,DF
374,Jean-Kévin Augustin,97bfa797,2014-2020,FW
375,Benjamin Aulagnier,2e18e5d5,2016-2017,FW
376,Dominique Aulanier,69cd531d,2002-2003,MF
377,Hubert Aulon,4a04edbc,2017-2019,DF
378,Thomas Aupic,f17ebaaa,2016-2018,GK
379,André Auras,56824dd7,2012-2015,MF
380,Olivier Auriac,86c8c22e,2001-2016,MF
381,Coralie Austry,3731ccea,2017-2019,FW
382,Christophe Autret,4ce7798d,2017-2019,MF
383,Mathias Autret,7dfbba27,2009-2020,MF
384,Bertrand Auvinet,2ae17c58,2019-2020,MF
385,Kévin Auzou,e9726338,2019-2020,DF
386,Ali Avci,6e0427d7,2017-2018,FW
387,Baptiste Aveline,9be6aa28,2018-2019,DF
388,Yohann Averlant,f0e3d2d5,2017-2018,DF
389,Christophe Avezac,f066ffd1,2003-2010,MF
390,Camille Avines,fc3bccbf,2018-2019,DF
391,William Avognan Yapobi,6370c5a3,2018-2019,GK
392,Adrien Awana,ac3f6c74,2017-2018,DF
393,Naissim Ayadi,b3d17107,2018-2019,MF
394,Nassim Ayaida,d03d462f,2018-2019,MF
395,Hamadi Ayari,a5d9b2e9,2010-2019,MF
396,Thomas Ayasse,aca9ef32,2009-2019,MF
397,Fevzi Aydogan,44f8c54a,2017-2018,MF
398,Florian Ayé,718b8afd,2015-2020,FW
399,John-Christophe Ayina,9a1e16f3,2012-2018,FW
400,Hugues Ayivi,9fe7d607,2014-2019,FW
401,Jérémy Aymes,a5d28814,2015-2020,GK
402,Dan Ayoul,725389ec,2019-2020,GK
403,Benoît Azadian,86a15cc2,2019-2020,MF
404,Karim Azamoum,eaf71a5e,2013-2020,MF
405,Fayçal Azarkane,f4da51ee,2018-2019,DF
406,Adil Azbague,6a8894f7,2015-2019,MF
407,Floriane Azem,e6cffa77,2017-2019,GK
408,Remi Azerot,4504c739,2017-2019,GK
409,Othman El Azhar,e4722d49,2017-2018,FW
410,Abdoul Aziz Ba,8727e6f7,2017-2018,DF
411,Abdou Aziz Thiam,ede46d0d,2014-2015,MF
412,Youssef Azizi,bbca66e6,2017-2018,MF
413,Karim Azizou,e78a65b4,2005-2007,DF
414,Eddy Azouni,84437418,2017-2018,DF
415,Lakhdar Azouz,1a3f6d84,2017-2018,MF
416,Lorena Azzaro,10c104d5,2018-2020,FW
417,Azzedine Azzioui,a0c57be5,2015-2018,DF
418,Fouad El Azzouzi,cb7d3c3d,2019-2020,FW
419,Yassin El-Azzouzi,2652ba0a,2011-2013,FW
420,Abdoul Ba,26b836f0,2017-2018,FW
421,Abdoulaye Ba,376b28a6,2017-2020,DF
422,Abou Ba,8faaed08,2018-2019,FW
423,Abou-Malal Ba,10f91c19,2017-2020,MF
424,Aboubacry Ba,a7100370,2017-2018,DF
425,Alioune Ba,add3fe03,2017-2018,MF
426,Alioune Ba,ddc94067,2017-2020,DF
427,Amadou Ba,0a49e528,2017-2019,FW
428,Amadou Ba,9f500cf0,2018-2019,MF
429,Amadou Ba,da04e079,2017-2018,MF
430,Daouda Ba,f5102db4,2018-2020,MF
431,El-Hadji Ba,db89826f,2011-2020,MF
432,Hamidou Ba,439f3372,2017-2019,DF
433,"Ibrahim Ba 1998-2005 · MF · Milan, Perugia, Djurgården, Marseille, Bolton Wanderers",509ff2ca,1998-2005,MF
434,Khalifa Ba,838e45d4,2003-2004,DF
435,Moulaye Ba,9e6f07a8,2015-2020,FW
436,Safouane Baba,2de6c1d5,2017-2018,FW
437,Khalid Babaya,be4cf141,2019-2020,MF
438,Malcom Babel,032390fb,2017-2018,DF
439,Paul Babiloni,e5857cc4,2012-2017,DF
440,Renaud Babin,47600fd4,2018-2019,FW
441,Pamela Babinga,f192d5a4,2017-2019,MF
442,Anthony Babit,46b22c2c,2018-2019,FW
443,Brian Babit,f7334edc,2012-2016,MF
444,Maxime Baca,3d82351b,2008-2016,DF
445,Kévin Bacconnier,4fddc63f,2017-2018,DF
446,Selma Bacha,5809ef17,2017-2020,DF
447,Quentin Bachelier,2f4739b4,2019-2020,DF
448,Tristan Bachellez,4809ecf0,2019-2020,GK
449,El Bachir Diakité,102070db,2019-2020,DF
450,Maxime Bacle,ce9819f6,2014-2015,MF
451,Alain Baclet,572ba687,2009-2020,FW
452,Aliou Badara Traore,2b87b576,2017-2020,MF
453,Loïc Bade,114bbdee,2019-2020,MF
454,Vincent Badets,fe688e25,2018-2019,MF
455,Jean-Michel Badiane,074c3084,2004-2007,DF
456,Loic Badiashile,34e38ddf,2016-2020,GK
457,Clément Badin,b53b92d9,2014-2020,MF
458,Abiola Badirou,1f4c9e5d,2017-2018,FW
459,Ousmane Badji,446aaa59,2018-2020,MF
460,Cyril Badoil,b075df06,2018-2019,FW
461,Nassim Badri,6aba8fe0,2014-2015,GK
462,Bastian Badu,3deb2342,2019-2020,FW
463,Ronald Bafounta Mampouya,ff95f743,2018-2020,FW
464,Kamal Bafounta,eb3e1eb8,2018-2019,MF
465,Samy Baghdadi,ab4dc365,2017-2018,FW
466,Cyril Bagnon,45471640,2019-2020,DF
467,Florian Bague,863dfa43,2009-2012,GK
468,Mohamed Bah,08026bd5,2019-2020,MF
