,Player Name,Players ID,Years Active,Position Played
280,Amaral,672af6eb,2002-2010,MF
281,Amaral,a19bfce8,2006-2019,MF
282,Amaral,e2e53795,2005-2013,MF
283,Amaral,f491cca7,2005-2010,MF
284,Amaral,fd2effbf,2014-2018,DF
285,Giuliano Amaral,ed5cf304,2007-2011,MF
286,Leandro Amaral,e8f1f331,2000-2013,MF
287,Luciano Amaral,66994063,2006-2013,FW
288,Tiago Amaral,e1df5655,aral 2016,DF
289,Amarildo,b5dd8abd,ildo 2019,FW
290,Leandro Amaro,c3527dd7,2008-2019,FW
291,Amauri,a866cdf2,2014-2015,DF
292,Warian Ameixa,ee45a1c5,2016-2018,FW
293,William Amendoim,cfc93279,doim 2006,MF
294,Américo,2043a800,rico 2012,MF
295,Amilcar,9a4852e8,lcar 2017,DF
296,Amilton,28a2c1fe,2015-2020,FW
297,Amílton,c3d00930,2007-2010,MF
298,Daniel Amorim,79c07a82,2017-2019,FW
299,Donizete Amorim,8e16f713,2003-2007,FW
300,Felipe Amorim,646b1e1b,2010-2019,MF
301,Guilherme Amorim,abaab608,2014-2016,MF
302,Júnior Amorim,d9ed68be,2003-2008,MF
303,Rafael Amorim,7992cf4a,2013-2017,FW
304,Wellington Amorim,b0cbfe8e,2006-2010,DF
305,"Márcio Amoroso 1998-2008 · FW · Borussia Dortmund, Parma, Udinese, Málaga, São Paulo, Corinthians, Grêmio, Aris, Milan",1e1bf801,1998-2008,FW
306,Anaílson,8a39e644,2003-2011,FW
307,Ananias,a8a2b69b,2008-2016,MF
308,João Ananias,34539bfe,2016-2017,MF
309,Anderson,0cd1a769,2002-2009,DF
310,Anderson,0db8bfff,2003-2011,FW
311,Anderson,29d862d4,2018-2019,MF
312,Anderson,374fd028,2005-2011,GK
313,Anderson,4085f4d4,2007-2010,MF
314,Anderson,4242a0a1,2018-2020,DF
315,Anderson,584374b1,rson 2018,MF
316,Anderson,602c7bdb,2003-2013,FW
317,Anderson,76b068db,2008-2016,DF
318,Anderson,7ffcf9d0,2006-2019,DF
319,Anderson,909c5c01,rson 2019,GK
320,Anderson,9dc5810c,2019-2020,FW
321,Anderson,c3213bab,2018-2020,MF
322,Anderson,d70c0dac,2002-2003,DF
323,Anderson,d8a9c776,2002-2009,MF
324,Anderson,faf30cda,2019-2020,MF
325,Anderson,ffcbeb74,2004-2017,FW
326,Dedé Anderson,afe86d77,2003-2005,MF
327,Felipe Anderson,9f1893b9,2010-2020,FW
328,Francisco Anderson,ee8f7dc5,rson 2018,MF
329,Mateus Anderson,deb88e69,2016-2019,MF
330,"Sonny Anderson 1999-2008 · FW · Lyon, Villarreal",27a82cca,1999-2008,MF
331,Thonny Anderson,7a7c9837,2018-2019,FW
332,Andrade,e3e2c52f,2006-2010,FW
333,Ricardinho Andrade Alves,68a38f09,2008-2009,MF
334,Anderson Andrade Antunes,f1185c31,2008-2016,FW
335,André Andrade,74499084,rade 2006,FW
336,Andréia Rosa de Andrade,dd4d227e,2008-2019,FW
337,Bruno Andrade,1d3ff740,2008-2019,DF
338,Elinton Andrade,932850a9,2005-2015,FW
339,Genesis Andrade,82bb7e44,rade 2018,GK
340,Guilherme Andrade,2a5ed56b,2009-2016,FW
341,Léo Andrade,070eb3e3,rade 2017,DF
342,Léo Andrade,2f2183b1,rade 2007,DF
343,Magno de Andrade,edb6d574,2010-2012,FW
344,Nícolas Andrade,326d09ef,2012-2020,DF
345,Raphael Andrade,f2e3c795,2006-2015,GK
346,Robson Pereira de Andrade,361fcf18,2008-2009,DF
347,Rodrigo Andrade,41b628fe,2016-2019,DF
348,Rodrigo Andrade,cf272f76,2010-2017,MF
349,Victor Andrade,1dc83c51,2012-2018,MF
350,Wallace Andrade,c99148c8,rade 2015,MF
351,Will Robson Emilio Andrade,24d45b64,2001-2003,GK
352,Andradina,57f6ec3e,2003-2014,FW
353,André,13b52dec,2009-2019,FW
354,André,93fe9cb1,ndré 2008,FW
355,Paulo André,996c6787,2004-2019,MF
356,Andreazzi,191bc271,azzi 2014,DF
357,Andressa,cd3e01dc,2015-2020,MF
358,Andressinha,097a7693,2015-2019,MF
359,Andrew,1edd0373,2014-2019,MF
360,Andrew,40406a00,drew 2018,MF
361,Andrey,0895499c,drey 2018,GK
362,Andrey,134e83ab,2014-2019,FW
363,Andrey,e1e4aee8,2018-2019,GK
364,Andrezinho,170b6051,2009-2012,MF
365,Andrezinho,549c066d,2009-2011,MF
366,Andrezinho,69e775e8,2006-2012,rá
367,Andrezinho,6c178758,2008-2012,DF
368,Andrezinho,9e2f1e52,2014-2015,MF
369,Andrezinho,ad524ba8,2009-2012,FW
370,Andrigo,8b400e13,2014-2019,MF
371,Ronaldo Angelim,7428819e,2003-2012,MF
