,Player Name,Players ID,Years Active,Position Played
231,Miguel Ángel Romero,912313ea,2005-2008,DF
232,Miguel Ángel Torrén,c6549bd1,2005-2020,MF
233,Marcos Angeleri,f1c9c320,2002-2020,DF
234,David Angeloff,7815058e,2010-2011,DF
235,Fabrizio Angileri,fdd26d71,2012-2020,DF
236,Ignacio Anívole,4b673ce8,vole 2008,MF
237,Cristian Ansaldi,bbafc0c4,2005-2020,MF
238,Federico Anselmo,c292fc1d,2014-2019,MF
239,Federico Ántico,bcee87e2,2015-2016,FW
240,Alejo Antilef,21e5aa5e,2017-2020,DF
241,Fermín Antonini,09dab107,2016-2017,MF
242,Mauro Antonio Burruchaga,0830a4f9,2018-2020,MF
243,José Antonio Michelena,324c4cbe,lena 2017,MF
244,Luis Antonio Rodríguez,1b8932c0,2009-2012,FW
245,Juan Antonio,fca7c577,2006-2014,MF
246,Eric Aparicio,04f60248,2009-2015,MF
247,Claudio Aquino,1645d166,2013-2020,FW
248,Mauricio Aquino,b6e01a75,2015-2018,MF
249,Adrián Aranda,735514bb,2007-2009,GK
250,Germán Arangio,01462da2,2006-2007,FW
251,Carlos Arano,d1c30bae,2001-2015,FW
252,Daniel Aráoz,72a9dc0c,ráoz 2010,DF
253,Alan Arario,4b471ad3,2015-2017,MF
254,Aldo Araujo,419413e8,2016-2019,MF
255,Carlos Araujo,e00b2e3a,2003-2020,MF
256,Sergio Araujo,080ac8d8,2009-2020,MF
257,Nicolás Arbiza,bf64baf6,2010-2013,FW
258,Julio Arca,7ac25aa9,2000-2013,MF
259,Carlos Arce,b53f8635,2005-2011,MF
260,Damián Arce,deae5360,2016-2018,DF
261,Fernando Arce,9cc73133,Arce 2018,MF
262,Gustavo Arce,c0676b38,2001-2005,FW
263,Ignacio Arce,707fcc63,2018-2019,MF
264,Matías Arce,b9b6defe,2001-2009,GK
265,Rodrigo Archubi,26c2240d,2002-2010,MF
266,Rodrigo Arciero,f9240252,2013-2020,MF
267,Luis Ardente,60d13f91,2008-2019,DF
268,Lautaro Arellano,e583a092,lano 2015,GK
269,Nahuel Arena,320323af,2018-2020,MF
270,Facundo Argüello,f5b18a65,2001-2003,DF
271,Marcelo Argüello,ce9680e5,2012-2018,DF
272,Marcos Argüello,2694b91d,2003-2016,FW
273,Federico Arias,0eade76b,2001-2008,GK
274,Ramiro Arias,fa312f90,2013-2017,FW
275,Luciano Ariel Castillo,a0e1f56f,2001-2003,DF
276,Jorge Ariel Fernández,6d2dab80,2006-2013,DF
277,Federico Ariel García,85a663ff,2003-2004,MF
278,Joaquín Ariel Novillo,af36c6d0,2018-2019,MF
279,Claudio Ariel Rojas,3112fb11,2007-2009,DF
280,Lisandro Ariel Silva,21851760,ilva 2012,FW
281,Fernando Ariel Troyansky,01cff703,2003-2012,MF
282,Franco Armani,b3e42951,2010-2020,DF
283,Leandro Armani,a57f6f1a,2006-2009,GK
284,Mariano Armentano,5819b50b,2000-2005,FW
285,Emiliano Armenteros,66475fb9,2003-2018,FW
286,Juan Arostegui,5996110d,2001-2010,MF
287,Nicolás Arrechea,7439fd5f,2017-2018,FW
288,Adrián Arregui,2b972b34,2015-2020,DF
289,Yesica Arrien,a6e54609,2003-2008,MF
290,Norberto Arrieta,0c2ae87d,ieta 2008,DF
291,Sebastián Arrieta,1d86702c,2004-2009,MF
292,Héctor Arrigo,32065ca8,rigo 2016,MF
293,Ezequiel Arriola,2d272c7e,2006-2007,FW
294,Héber Arriola,8bfa6434,2007-2012,MF
295,Osvaldo Arroyo,3f44b81e,2015-2017,FW
296,Ramiro Arrú,4046e8fe,Arrú 2011,MF
297,Matías Arrúa,70c5072f,2015-2016,FW
298,Rodolfo Arruabarrena,fbd07266,2000-2010,FW
299,Fabian Arsenio Castillo,dbad811d,2008-2010,DF
300,Jorge Artigas,ea1a4880,2006-2013,FW
301,Marcos Arturia,e3052e8b,2018-2019,MF
302,Martin Aruga,a1e5e726,2018-2020,FW
303,Lucas Arzamendia,ff79e1a8,ndia 2019,MF
304,"Claudio Arzeno 1999-2004 · DF · Racing Santander, Chacarita Juniors",22ba1000,1999-2004,DF
305,Joaquín Arzura,0eeb0b2f,2013-2020,DF
306,Yamil Asad,a444689a,2012-2019,MF
307,Santiago Ascacíbar,e26fcca3,2016-2020,MF
308,Franco Ascencio,3ea694f2,ncio 2010,MF
309,Mauricio Asenjo,35e2e0df,2014-2018,MF
310,Sebastián Aset,06165545,2007-2008,FW
311,Gonzalo Asis,3ac051f5,2017-2019,FW
